Transaction Hash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $2806.35755532087/ETH,TxnFee(ETH),TxnFee(USD),Historical $Price/ETH,Status,ErrCode,Method
0x9736f4be93d0bbd602320eedbf39e1ef4fd6f8f8398b63fd43fe6363581abe2e,38805923,1764401193,2025-11-29 07:26:33,0x01a16e04e457b82bdb9ee94d102b3e25e01d26d7,,0x12fd9f7f69c6c4ff69e1815c9918526e5e115cdd,0,0,0,0.000002461349515864,0.0069074268101303,2990.56,,,0x61018080
0x7d0763191035b7c00413e23fd99156923e027f4a2900aa749119e261a0c918fe,38805973,1764401293,2025-11-29 07:28:13,0x01a16e04e457b82bdb9ee94d102b3e25e01d26d7,0x12fd9f7f69c6c4ff69e1815c9918526e5e115cdd,,0,0,0,0.000001464779174023,0.00411069410189611,2990.56,,,0xCFD84B4D
0x5d225117b079caa6402d480788e3f33a93cade9e1992f69516c792775e6a6ea5,38805975,1764401297,2025-11-29 07:28:17,0x01a16e04e457b82bdb9ee94d102b3e25e01d26d7,0x12fd9f7f69c6c4ff69e1815c9918526e5e115cdd,,0,0,0,0.00000058331747066,0.00163699739093735,2990.56,,,0xCFD84B4D
0xd6cf05a4f5e3364aca78c515784ea359d6ccc652ba15c2dcb94912b79645b2b1,38805977,1764401301,2025-11-29 07:28:21,0x01a16e04e457b82bdb9ee94d102b3e25e01d26d7,0x12fd9f7f69c6c4ff69e1815c9918526e5e115cdd,,0,0,0,0.00000058335566693,0.00163710458332825,2990.56,,,0xCFD84B4D
0x977e3b87eb2e8bb39f2473e2747b0709f1ff15d65d23d222e0a8b14fc1220dc5,38805979,1764401305,2025-11-29 07:28:25,0x01a16e04e457b82bdb9ee94d102b3e25e01d26d7,0x12fd9f7f69c6c4ff69e1815c9918526e5e115cdd,,0,0,0,0.000000583339048202,0.00163705794523537,2990.56,,,0xCFD84B4D
0xc9489fca43e941aaa85206bdab70b8a77a62f80a98f4ea36e0170e0d3e5b3606,38805982,1764401311,2025-11-29 07:28:31,0x01a16e04e457b82bdb9ee94d102b3e25e01d26d7,0x12fd9f7f69c6c4ff69e1815c9918526e5e115cdd,,0,0,0,0.000001241868346098,0.00348512661578596,2990.56,,,0xCFD84B4D
0xbddc53baa49e1f27992a34d5b9f687e3fac3c01db769a58ee767062b42c31e65,38805984,1764401315,2025-11-29 07:28:35,0x01a16e04e457b82bdb9ee94d102b3e25e01d26d7,0x12fd9f7f69c6c4ff69e1815c9918526e5e115cdd,,0,0,0,0.000000583325672224,0.00163702040745845,2990.56,,,0xCFD84B4D
0xb46f21b8c19632b59ad417905c2d8cc5561b41eeefbeccfab031a7f4f512e2d3,38805986,1764401319,2025-11-29 07:28:39,0x01a16e04e457b82bdb9ee94d102b3e25e01d26d7,0x12fd9f7f69c6c4ff69e1815c9918526e5e115cdd,,0,0,0,0.000000583302117152,0.00163695430350417,2990.56,,,0xCFD84B4D
0x2e7c0e4b297890bbc7473985a8b2e43206c2af78203a967a8016f62946c97259,38805988,1764401323,2025-11-29 07:28:43,0x01a16e04e457b82bdb9ee94d102b3e25e01d26d7,0x12fd9f7f69c6c4ff69e1815c9918526e5e115cdd,,0,0,0,0.00000058327249829,0.00163687118238702,2990.56,,,0xCFD84B4D
0x263388a05e702f47bd554ab4834a89a79ae42e3c100912d7e053b6a535dba99a,38806175,1764401697,2025-11-29 07:34:57,0x01a16e04e457b82bdb9ee94d102b3e25e01d26d7,0x12fd9f7f69c6c4ff69e1815c9918526e5e115cdd,,0,0,0,0.000000582904323879,0.00163583795334704,2990.56,,,0xCFD84B4D
