transmit_tx,transmit_block,sprayed_in_block,sprayed_in_block_count,exec_b0_count,exec_b1_count,exec_b2_count,has_gatepass_within_2blocks,gatepass_block,gatepass_tx,gatepass_fee_eth,total_exec_b0_b2
0x8c01a9a6ebefdd7a70ef0716b946cca8a96a62baa9a7afc326ec272ec50305c8,38805981,0,0,0,1,0,1,38805982,0xc9489fca43e941aaa85206bdab70b8a77a62f80a98f4ea36e0170e0d3e5b3606,0.000001241868346098,1
0x308499077b931f8be058e42aef929d222fbcb3b44271bf6fa75baae9ab067fed,38806266,0,0,0,1,0,1,38806267,0xfef4b9e79f0540ab7e3f08f0b63703649e3897d07b6b9cbbbd37a97b5cc66998,0.000001242757454429,1
0xf3a52a8bee7b0d413e2c3ea3043d7589a57ba67bf7727d21ef5507f1683467e2,38806521,1,1,1,0,1,0,,,,2
0xc699498d0c4750bbe440f16157948128119b28f89408066edd6b3bee950c22e6,38806837,1,1,1,0,1,0,,,,2
0x8ae0cfd740fd1d82f250dbdc245874b2825d4437bc66fd416cfbcf213b7abaff,38807452,0,0,0,1,0,0,,,,1
0xfa73a5155639d4ef8da703646cfcf9e529b0b41c60058488375a86038df83101,38807677,0,0,0,0,0,0,,,,0
0xfa82bd16c19c0630e7fd7efb081c751d8e2679c3b7d1ec95fe024fc5e52e2bf3,38807797,1,1,1,0,1,1,38807799,0x65c7417619366c1acc1a390a0b3d480490ded1d10647f366ea64790f9c33cfaa,0.000001239630431806,2
0xbcdb19616c4e9ce0191483e557e6836cd32e1c85f1791d2501b87e8594c1627e,38808412,0,0,0,1,0,1,38808413,0x4e0e4c97b623ecdcc0d2a1b1a856aad5a2c24c768711f27b652b9dcb895d2ae8,0.000001242635236087,1
0x77171f089bf25fd6731d16bb43c0bbcc3d20babc473baacfbe23cc33218fa110,38809013,1,1,1,0,1,1,38809015,0xc5e444de2c7a142b2ef58b8fda9b814d4789f8578398b47fd98cdebe32e65995,0.000001244740036528,2
0xbee5fe87a3ecb41aa18c9b7da5338d5e61a9e4acde9b86ba0de8be5d65348753,38809268,1,1,1,0,1,0,,,,2
0x3a2c64b6b61bdc80093133c01ae387ab71a59be9c751e7f36e9f1eb8f86579c7,38809644,0,0,0,1,0,1,38809645,0x9096c2704aa73200af9b038a916b2943fe257395656ff5b9c697cf9a903b44c8,0.000001239661078823,1
0x92a7e7dce4e19f6c7b579d6606fd8dcb7d9e5ff480f367531187c6a0c2458eb0,38810259,0,0,0,0,1,0,,,,1
0x02a4160dca4262616d21ebe3e4bdd7a2bbee6b924a54f79e6f7602112fdf5dba,38810874,0,0,0,1,0,1,38810875,0x3a7ce0900497b88acefc0cab17e70809d5cc7674d8f0d327d4b99b5f96b8cfcd,0.000001239424210246,1
0xd30ce0a5b8477ef35925cd21c5e4e71dce3341123084665982d5d61fda5ca7c0,38811099,0,0,0,1,0,1,38811100,0xa55141ad97022efc5bac50e20071c6b4c728394f04692928c8c16d52840fb4e0,0.000001240028438593,1
0xcf772077471f35803912535bdcd8db282722b71ee690c25fb72ede967b833b08,38811294,0,0,0,1,0,0,,,,1
0x88ab90675e35269af4bff3036b52b0c89af32b9acbdc3a698c04d94955b73c2a,38811910,1,1,1,0,0,0,,,,1
0x2ed4c3356d416e37fa004eaa8de7166158e240fffcaa7c3217f603966ff944a5,38812495,1,1,1,0,1,1,38812497,0x2dd3005369aad3a9d6bee77911cdb02e0969414e8de7d58809609bc79e5be332,0.000001239942749673,2
0x4ffffdef82110fd145ebd37dfc48f7bc5c9fda8ddb5e89161e45495cdd987264,38812690,0,0,0,1,0,0,,,,1
0xf35debf13a0c3bcb2f851430c64ae537ec40c7666e145cb158adc6d0b9dc0513,38813290,0,0,0,1,0,1,38813291,0xaf572d7ecebb4fd60605df0323be4bf6b158af5245ff9550913b434d26c6aaab,0.000001241314287514,1
0xad4ef3699b43107e5f47399a78d1ede2d73f95e99f9be28fb15116324bb62f3a,38813546,0,0,0,1,0,0,,,,1
0x74d8ca6634588e1ac672d7a697d4b2bb96d39d0889126da4cf4d5bc9063806f3,38814161,0,0,0,1,0,0,,,,1
0xbd843207dc3c6ba19a47ed5aa70977d66dc43b512d02f0312b85ee0fa770b4a3,38814371,0,0,0,1,0,0,,,,1
0x8aab656e806f366642d56b435cc24990a1a526fcbf95870480ab5bae891aa710,38814581,1,1,1,0,1,1,38814583,0x72ddaf0de4111606f59e6aef44a307f953abc83fd41831ea11f2ce6ffb711afa,0.000001241601916409,2
0x8c4fec4d120077c87592e1279e72639dca64b752cd18374d1b90928b5a4eb5bf,38814926,0,0,0,1,0,1,38814927,0xbf1bf41017495a1d78fc23fc7c7f6f14160720397f8e7ab4399b941a80833f2c,0.000001239592119527,1
0xb94f0c301783cfbd0d0477b1eeb94c3646066ffe4e6ec86687e4454b128fb56a,38815542,0,0,0,1,0,0,,,,1
0x659b7ebdd8e183e33438f6d165d510e0fc62be15ce78b324b37ff9e11d2cb760,38815737,0,0,0,1,0,0,,,,1
0xbfb78560e39bf340fe6074143a6e96ce1383df89e6e0a4f85776ada33d1d4352,38815932,0,0,0,1,0,1,38815933,0x1f7361bb518b30c3748fb23eb201e724e5e162e2dde738aa93a6c89a8afeead8,0.000001243765452753,1
0xe3b50029dc27965b42a2c12a8b5c95e1d6ddfe21462f5c1cd3e64b80c4afc7f6,38816548,0,0,0,1,0,0,,,,1
0x14c5a580e76be1c3f61c6f4e1b29454c6913c632ad36a8f2c6df9557d63fb0ac,38816803,0,0,0,1,0,0,,,,1
0x7547d78220971a6e3ebc79f9ce59e7b5ed12bec8727fc75a8adeb59488dcb81c,38817088,0,0,0,1,0,1,38817089,0x85b1d961e413c18ab41130d5e7b910d0bb65087b7edaa569f13ad88076f8ab3a,0.000001242450740309,1
0xb9f8d0986d7639a27fb73967c049f6b31b8ec8e12831166f37543eb1fa681e60,38817463,0,0,0,1,0,0,,,,1
0xb718ba58473b1fb62cd6f4bf08b90fb05cdd7e634e2908c1edc627cc47dc1307,38818064,0,0,0,1,0,1,38818065,0xe5b96e836ed35fc27aebcbbe7f8bb5cbc1029123a71e01d8b3a86660778a8661,0.000001239962767847,1
0xaad7321d47e4eceb031abb519db7a6a679bb3b8f79f8b4b99223c51fce80b6c1,38818679,0,0,0,1,0,0,,,,1
0xe4887c4a6978a8e4a286874a0146354ef00d28619c5db70a7dad0863e66bb52d,38819294,0,0,0,1,0,1,38819295,0xaf24fc5151e7f908fdcd42af81f079372e08021b01b25b940f510e4e495d0d41,0.000001249102870074,1
0x1239bb8377f557e136e74847a2ad65aef15fcb30142d338b64f51297e8749430,38819895,1,1,1,0,1,0,,,,2
0xead6a1ba2bb8415f097802852752336134b9c96646548933903e0fd8d392acf1,38820015,1,1,1,0,0,0,,,,1
0x1e2187c92c66340f13ef79d4e779f7c43d333322e2468b71a9041c1243d26a8f,38820045,1,1,1,0,1,0,,,,2
0x325b29c51aac1b463007618c146cf57efb6d24c912f9f30b2e69c9f2a2c77ba9,38820210,0,0,0,1,0,0,,,,1
0x61d69b5c865ecfd51caeacb8b72c16174a6d98881a51a739074c1a68d3925758,38820270,1,1,1,0,0,0,,,,1
